,precision,recall,f1-score,support
0,0.949592290585619,0.9412196914033799,0.9453874538745387,1361.0
1,0.9699453551912568,0.9403973509933775,0.9549428379287155,1510.0
2,0.8769559032716927,0.9180938198064036,0.897053473990542,1343.0
3,0.851150202976996,0.9011461318051576,0.8754349338900487,1396.0
4,0.8958944281524927,0.9236583522297808,0.9095645701525865,1323.0
5,0.8721311475409836,0.8778877887788779,0.875,1212.0
6,0.9380804953560371,0.9366306027820711,0.9373549883990719,1294.0
7,0.9283128167994207,0.8977591036414566,0.9127803488786045,1428.0
8,0.9019756838905775,0.8727941176470588,0.8871449925261584,1360.0
9,0.9060092449922958,0.8769574944071589,0.8912466843501327,1341.0
accuracy,0.9091244103773585,0.9091244103773585,0.9091244103773585,0.9091244103773585
macro avg,0.9090047568757372,0.9086544453494725,0.9085910283990399,13568.0
weighted avg,0.9099656195126146,0.9091244103773585,0.9093017840745456,13568.0
