,precision,recall,f1-score,support
0,0.945823927765237,0.9148471615720524,0.93007769145394,1374.0
1,0.9177921315325895,0.9762648344784509,0.9461259079903148,1601.0
2,0.8879821958456974,0.8661360347322721,0.8769230769230769,1382.0
3,0.8273211117681845,0.9648275862068966,0.8907991085641516,1450.0
4,0.9981203007518797,0.7966991747936985,0.886107634543179,1333.0
5,0.8491779842744818,0.9635036496350365,0.9027355623100304,1233.0
6,0.9831029185867896,0.9446494464944649,0.963492660895747,1355.0
7,0.933378196500673,0.9532646048109966,0.9432165929955797,1455.0
8,0.9438444924406048,0.9324324324324325,0.9381037567084078,1406.0
9,0.9658650116369278,0.8823529411764706,0.9222222222222223,1411.0
accuracy,0.9206428571428571,0.9206428571428571,0.9206428571428571,0.9206428571428571
macro avg,0.9252408271103064,0.9194977866332772,0.9199804214606649,14000.0
weighted avg,0.9252382657109429,0.9206428571428571,0.9206169491042948,14000.0
