,precision,recall,f1-score,support
0,0.9949090909090909,0.9956331877729258,0.9952710076391416,1374.0
1,0.9962523422860712,0.9962523422860712,0.9962523422860712,1601.0
2,0.9906340057636888,0.9949348769898697,0.9927797833935018,1382.0
3,0.9931129476584022,0.9944827586206897,0.9937973811164714,1450.0
4,0.9902402402402403,0.9894973743435859,0.9898686679174484,1333.0
5,0.9942857142857143,0.9878345498783455,0.9910496338486574,1233.0
6,0.9940828402366864,0.9918819188191882,0.9929811599556705,1355.0
7,0.9897330595482546,0.9938144329896907,0.9917695473251029,1455.0
8,0.9914590747330961,0.9907539118065434,0.9911063678406261,1406.0
9,0.9893541518807665,0.9879518072289156,0.9886524822695035,1411.0
accuracy,0.9924285714285714,0.9924285714285714,0.9924285714285714,0.9924285714285714
macro avg,0.992406346754201,0.9923037160735826,0.9923528373592194,14000.0
weighted avg,0.9924309717482596,0.9924285714285714,0.9924276949570274,14000.0
